motis_id,motis_name,wikidata_id
56,Zeleznice Slovenskej republiky,Q393524
58,Ritmo,Q3433322
64,Montreux-Oberland Bernois,Q617732
65,THURBO,Q432448
66,Stadtwerke Verkehrsbetriebe Wilhelmshaven GmbH,Q1577332
70,REGION - cars Région Express,Q14021675
72,Rhätische Bahn,Q177598
73,REGION - cars Région Savoie,Q27992297
74,SJ,Q8301325
76,Vy,Q83825
78,Sihltal-Zürich-Uetliberg-Bahn,Q664642
79,Dr. Richard Linien GmbH & Co KG,Q1254031
80_BOD,FPLAN BOD RAB OMP,null
80_RVL,FPLAN RBG SWG,null
80_VHB,FPLAN VHB SBP,null
81,SWO Mobil GmbH,Q1114682
81____,Österreichische Bundesbahnen,Q83822
82,Schweizerische Südostbahn (sob),Q676639
83,Trenitalia,Q286650
84,Stadtverkehrsgesellschaft mbH Frankfurt (Oder),Q2328353
85,Schweizerische Bundesbahnen,Q83835
86,Zentralbahn,Q190208
87,Société Nationale des Chemins de fer Français,Q13646
87_LEX,Société Nationale des Chemins de fer Français,Q13646
87_SIB,SIBRA,Q3488417
88,Dopravný podnik Bratislava,Q685601
91,Sonstige Verkehrsunternehmen,null
92,Havelbus Verkehrsgesellschaft mbH,Q1591492
93,Matterhorn Gotthard Bahn (bvz),Q666922
96,Aargau Verkehr AG,Q57312492
97,Transports Vallée de Joux-Yverdon-Ste-Croix,Q388731
99,"IDS JMK (Data from: KORDIS JMK, DPMB)",null
101,Österreichische Postbus AG - N (Salzburg),Q14912709
109,Österreichische Postbus AG - W (Tamsweg),Q14912709
110,Österreichische Postbus AG - W (Zell am See),Q14912709
